transaction_id,customer_id,product_id,purchase_date,quantity,total_price
TX00088,CUST0030,PROD0038,2024-10-05,3,388.35
TX00089,CUST0030,PROD0083,2024-10-06,4,640.92
TX00090,CUST0030,PROD0189,2024-12-24,2,344.12
TX00091,CUST0031,PROD0149,2023-08-03,4,894.72
TX00092,CUST0031,PROD0103,2023-07-22,3,186.42
TX00093,CUST0031,PROD0096,2024-06-09,3,813.39
TX00094,CUST0032,PROD0038,2023-02-13,4,517.8
TX00095,CUST0032,PROD0173,2023-09-05,5,554.55
TX00096,CUST0032,PROD0193,2025-01-07,4,463.96
TX00097,CUST0033,PROD0093,2025-01-27,5,1622.6
TX00098,CUST0033,PROD0111,2024-12-21,3,671.13
TX00099,CUST0033,PROD0023,2024-11-01,2,467.64
TX00100,CUST0034,PROD0086,2024-11-28,4,155.68
TX00101,CUST0034,PROD0092,2024-10-22,4,545.92
TX00102,CUST0034,PROD0166,2023-04-28,5,2157.2
TX00103,CUST0035,PROD0175,2023-10-14,3,107.46
TX00104,CUST0035,PROD0043,2024-05-22,5,1910.85
TX00105,CUST0035,PROD0011,2023-06-03,2,101.82
TX00106,CUST0036,PROD0154,2025-01-21,2,34.18
TX00107,CUST0036,PROD0088,2025-01-04,5,2355.45
TX00108,CUST0036,PROD0139,2025-03-17,2,436.98
TX00109,CUST0037,PROD0053,2025-05-29,1,266.2
TX00110,CUST0037,PROD0178,2024-05-05,4,611.24
TX00111,CUST0037,PROD0102,2024-11-03,1,56.28
TX00112,CUST0038,PROD0129,2025-04-30,5,894.1
TX00113,CUST0038,PROD0140,2023-09-06,1,160.39
TX00114,CUST0038,PROD0011,2023-08-07,5,254.55
TX00115,CUST0039,PROD0002,2023-07-12,2,230.98
TX00116,CUST0039,PROD0066,2023-07-14,2,103.38
TX00117,CUST0039,PROD0141,2024-09-06,3,1351.56
TX00118,CUST0040,PROD0126,2024-08-23,3,468.21
TX00119,CUST0040,PROD0030,2023-06-05,5,1160.65
TX00120,CUST0040,PROD0084,2023-07-22,4,964.04
TX00121,CUST0041,PROD0134,2024-09-23,2,731.26
TX00122,CUST0041,PROD0169,2024-07-28,5,1113.7
TX00123,CUST0041,PROD0101,2024-03-16,3,1228.41
TX00124,CUST0042,PROD0192,2023-05-17,1,375.77
TX00125,CUST0042,PROD0105,2025-04-30,2,608.78
TX00126,CUST0042,PROD0177,2024-04-16,4,773.16
TX00127,CUST0043,PROD0040,2025-04-25,2,346.78
TX00128,CUST0043,PROD0178,2024-07-29,1,152.81
TX00129,CUST0043,PROD0193,2024-10-09,5,579.95
TX00130,CUST0044,PROD0028,2025-01-26,1,438.8
TX00131,CUST0044,PROD0127,2024-12-27,3,50.13
TX00132,CUST0044,PROD0037,2025-03-13,2,387.8
TX00133,CUST0045,PROD0194,2024-09-27,2,49.86
TX00134,CUST0045,PROD0104,2024-12-01,5,1394.25
TX00135,CUST0045,PROD0078,2025-05-22,1,192.59
TX00136,CUST0046,PROD0049,2025-01-14,1,33.67
TX00137,CUST0046,PROD0007,2025-07-22,3,682.08
TX00138,CUST0046,PROD0005,2024-10-31,1,113.23
TX00139,CUST0047,PROD0054,2024-10-07,1,464.81
TX00140,CUST0047,PROD0048,2023-03-16,1,464.9
TX00141,CUST0047,PROD0199,2024-05-20,3,914.76
TX00142,CUST0048,PROD0116,2023-11-02,3,1350.0
TX00143,CUST0048,PROD0031,2024-11-18,4,508.32
TX00144,CUST0048,PROD0109,2024-02-28,1,6.76
TX00145,CUST0049,PROD0179,2024-04-06,3,814.26
TX00146,CUST0049,PROD0153,2023-04-20,4,634.64
TX00147,CUST0049,PROD0077,2024-01-05,3,1299.0
TX00148,CUST0050,PROD0054,2024-12-11,5,2324.05
TX00149,CUST0050,PROD0078,2024-06-04,5,962.95
TX00150,CUST0050,PROD0110,2022-12-21,4,1960.0
TX00151,CUST0051,PROD0163,2024-08-04,1,267.91
TX00152,CUST0051,PROD0158,2024-02-24,4,503.08
TX00153,CUST0051,PROD0152,2024-03-11,1,410.12
TX00154,CUST0052,PROD0128,2024-10-23,1,167.49
TX00155,CUST0052,PROD0082,2025-01-02,3,875.07
TX00156,CUST0052,PROD0090,2024-09-15,4,1321.6
TX00157,CUST0053,PROD0099,2024-04-03,1,417.7
TX00158,CUST0053,PROD0193,2024-12-15,4,463.96
TX00159,CUST0053,PROD0138,2025-05-22,5,1311.8
TX00160,CUST0054,PROD0159,2024-01-04,4,1561.28
TX00161,CUST0054,PROD0090,2025-01-06,1,330.4
TX00162,CUST0054,PROD0176,2024-08-26,4,1811.6
TX00163,CUST0055,PROD0010,2023-08-14,1,111.58
TX00164,CUST0055,PROD0125,2025-03-30,4,415.16
TX00165,CUST0055,PROD0195,2024-08-02,3,311.04
TX00166,CUST0056,PROD0140,2023-11-14,2,320.78
TX00167,CUST0056,PROD0024,2023-03-23,1,345.64
TX00168,CUST0056,PROD0022,2024-12-23,4,1277.24
TX00169,CUST0057,PROD0098,2024-01-31,2,375.84
TX00170,CUST0057,PROD0192,2025-07-11,5,1878.85
TX00171,CUST0057,PROD0087,2025-07-12,4,1726.4
TX00172,CUST0058,PROD0009,2023-10-07,5,1070.95
TX00173,CUST0058,PROD0083,2025-03-22,4,640.92
TX00174,CUST0058,PROD0080,2023-10-12,2,428.78
TX00175,CUST0059,PROD0158,2024-06-11,1,125.77
TX00176,CUST0059,PROD0106,2024-12-31,2,690.62
TX00177,CUST0059,PROD0025,2024-12-28,5,827.6
TX00178,CUST0060,PROD0173,2025-03-29,5,554.55
TX00179,CUST0060,PROD0200,2025-02-27,4,1930.16
TX00180,CUST0060,PROD0008,2023-09-09,1,380.61
TX00181,CUST0061,PROD0129,2024-09-27,3,536.46
TX00182,CUST0061,PROD0047,2024-01-17,5,827.3
TX00183,CUST0061,PROD0119,2024-09-16,4,1503.96
TX00184,CUST0062,PROD0138,2025-05-24,1,262.36
TX00185,CUST0062,PROD0168,2023-02-12,3,734.64
TX00186,CUST0062,PROD0186,2023-05-08,5,1615.8
TX00187,CUST0063,PROD0031,2025-06-12,4,508.32
TX00188,CUST0063,PROD0179,2025-04-20,2,542.84
TX00189,CUST0063,PROD0133,2024-12-10,4,234.64
TX00190,CUST0064,PROD0076,2025-01-25,3,618.51
TX00191,CUST0064,PROD0042,2025-05-10,5,2192.75
TX00192,CUST0064,PROD0011,2024-05-27,3,152.73
TX00193,CUST0065,PROD0110,2025-04-23,2,980.0
TX00194,CUST0065,PROD0029,2024-06-27,1,329.44
TX00195,CUST0065,PROD0176,2024-12-23,2,905.8
TX00196,CUST0066,PROD0124,2024-07-21,1,436.72
TX00197,CUST0066,PROD0125,2025-01-28,4,415.16
TX00198,CUST0066,PROD0064,2024-09-02,2,936.16
TX00199,CUST0067,PROD0198,2024-12-07,3,1053.72
TX00200,CUST0067,PROD0097,2024-10-25,2,933.92
TX00201,CUST0067,PROD0012,2024-03-22,2,849.02
TX00202,CUST0068,PROD0088,2023-11-11,4,1884.36
TX00203,CUST0068,PROD0175,2023-11-23,2,71.64
TX00204,CUST0068,PROD0150,2023-12-23,4,956.92
TX00205,CUST0069,PROD0180,2024-06-28,2,227.22
TX00206,CUST0069,PROD0030,2024-12-07,2,464.26
TX00207,CUST0069,PROD0026,2024-11-21,2,823.58
TX00208,CUST0070,PROD0190,2023-03-18,1,377.24
TX00209,CUST0070,PROD0155,2025-04-12,4,1230.32
TX00210,CUST0070,PROD0145,2023-09-25,4,1501.32
TX00211,CUST0071,PROD0094,2025-05-18,1,464.86
TX00212,CUST0071,PROD0179,2024-01-22,5,1357.1
TX00213,CUST0071,PROD0111,2025-05-05,3,671.13
TX00214,CUST0072,PROD0163,2024-12-17,4,1071.64
TX00215,CUST0072,PROD0140,2025-05-04,4,641.56
TX00216,CUST0072,PROD0028,2023-04-28,1,438.8
TX00217,CUST0073,PROD0072,2023-08-19,4,571.52
TX00218,CUST0073,PROD0112,2024-11-05,1,9.79
TX00219,CUST0073,PROD0143,2023-07-23,1,151.35
TX00220,CUST0074,PROD0023,2024-05-25,3,701.46
TX00221,CUST0074,PROD0068,2024-12-16,4,127.24
TX00222,CUST0074,PROD0171,2024-07-10,4,179.56
TX00223,CUST0075,PROD0130,2024-10-01,1,490.67
TX00224,CUST0075,PROD0063,2025-03-14,1,245.28
TX00225,CUST0075,PROD0036,2025-05-10,2,427.94
TX00226,CUST0076,PROD0023,2024-10-05,2,467.64
TX00227,CUST0076,PROD0147,2023-10-01,4,1670.76
TX00228,CUST0076,PROD0048,2024-09-29,5,2324.5
TX00229,CUST0077,PROD0096,2024-10-03,4,1084.52
TX00230,CUST0077,PROD0143,2023-08-29,1,151.35
TX00231,CUST0077,PROD0068,2025-03-19,2,63.62
TX00232,CUST0078,PROD0150,2024-07-28,5,1196.15
TX00233,CUST0078,PROD0106,2023-09-20,1,345.31
TX00234,CUST0078,PROD0030,2024-04-01,2,464.26
TX00235,CUST0079,PROD0052,2023-11-15,2,480.52
TX00236,CUST0079,PROD0038,2024-05-06,4,517.8
TX00237,CUST0079,PROD0077,2023-07-13,1,433.0
TX00238,CUST0080,PROD0096,2024-11-30,1,271.13
TX00239,CUST0080,PROD0016,2025-03-28,1,100.18
TX00240,CUST0080,PROD0131,2025-06-15,5,310.45
TX00241,CUST0081,PROD0171,2024-09-10,5,224.45
TX00242,CUST0081,PROD0069,2023-11-13,1,204.3
TX00243,CUST0081,PROD0150,2024-03-30,3,717.69
TX00244,CUST0082,PROD0036,2023-09-01,4,855.88
TX00245,CUST0082,PROD0082,2023-01-20,2,583.38
TX00246,CUST0082,PROD0063,2024-12-03,2,490.56
TX00247,CUST0083,PROD0170,2025-03-11,4,558.0
TX00248,CUST0083,PROD0122,2025-07-11,2,804.22
TX00249,CUST0083,PROD0123,2024-07-19,1,83.8
TX00250,CUST0084,PROD0045,2025-05-12,5,950.45
TX00251,CUST0084,PROD0100,2024-06-13,1,492.01
TX00252,CUST0084,PROD0142,2024-07-09,2,414.3
TX00253,CUST0085,PROD0171,2024-11-07,2,89.78
TX00254,CUST0085,PROD0033,2025-04-20,1,113.56
TX00255,CUST0085,PROD0131,2023-05-11,4,248.36
TX00256,CUST0086,PROD0132,2024-04-16,2,584.78
TX00257,CUST0086,PROD0019,2024-02-06,2,285.2
TX00258,CUST0086,PROD0145,2024-12-22,4,1501.32
TX00259,CUST0087,PROD0161,2024-12-10,3,842.76
TX00260,CUST0087,PROD0093,2025-06-02,4,1298.08
TX00261,CUST0087,PROD0058,2024-01-25,1,15.41
TX00262,CUST0088,PROD0193,2023-12-06,3,347.97
TX00263,CUST0088,PROD0111,2025-07-03,4,894.84
TX00264,CUST0088,PROD0011,2024-12-16,1,50.91
TX00265,CUST0089,PROD0050,2024-08-14,3,1101.87
TX00266,CUST0089,PROD0172,2024-09-13,4,778.4
TX00267,CUST0089,PROD0186,2023-05-26,4,1292.64
TX00268,CUST0090,PROD0156,2025-02-05,2,420.3
TX00269,CUST0090,PROD0058,2023-09-30,4,61.64
TX00270,CUST0090,PROD0192,2024-04-24,5,1878.85
TX00271,CUST0091,PROD0131,2024-11-14,2,124.18
TX00272,CUST0091,PROD0105,2024-08-05,2,608.78
TX00273,CUST0091,PROD0166,2025-04-24,5,2157.2
TX00274,CUST0092,PROD0134,2023-09-10,1,365.63
TX00275,CUST0092,PROD0074,2024-09-15,4,1311.24
TX00276,CUST0092,PROD0128,2023-07-01,5,837.45
TX00277,CUST0093,PROD0008,2023-01-27,5,1903.05
TX00278,CUST0093,PROD0107,2025-01-18,1,246.82
TX00279,CUST0093,PROD0017,2024-10-14,2,664.66
TX00280,CUST0094,PROD0198,2024-04-16,3,1053.72
TX00281,CUST0094,PROD0165,2024-06-07,3,677.19
TX00282,CUST0094,PROD0011,2025-03-27,4,203.64
TX00283,CUST0095,PROD0072,2024-07-08,3,428.64
TX00284,CUST0095,PROD0119,2023-07-06,3,1127.97
TX00285,CUST0095,PROD0167,2025-04-28,5,1885.65
TX00286,CUST0096,PROD0155,2022-11-27,4,1230.32
TX00287,CUST0096,PROD0084,2022-11-26,5,1205.05
TX00288,CUST0096,PROD0079,2024-10-15,4,1854.52
TX00289,CUST0097,PROD0099,2025-06-12,5,2088.5
TX00290,CUST0097,PROD0194,2024-12-21,5,124.65
TX00291,CUST0097,PROD0177,2024-10-27,5,966.45
TX00292,CUST0098,PROD0154,2025-04-26,2,34.18
TX00293,CUST0098,PROD0170,2024-11-04,4,558.0
TX00294,CUST0098,PROD0147,2025-01-08,3,1253.07
TX00295,CUST0099,PROD0024,2024-04-22,3,1036.92
TX00296,CUST0099,PROD0178,2024-09-15,5,764.05
TX00297,CUST0099,PROD0126,2024-08-15,5,780.35
TX00298,CUST0100,PROD0158,2023-10-12,3,377.31
TX00299,CUST0100,PROD0162,2024-09-08,3,213.0
TX00300,CUST0100,PROD0017,2024-11-21,3,996.99
TX00301,CUST0101,PROD0074,2025-01-23,2,655.62
TX00302,CUST0101,PROD0153,2025-03-07,3,475.98
TX00303,CUST0101,PROD0132,2025-03-06,3,877.17
TX00304,CUST0102,PROD0062,2024-05-21,3,778.53
TX00305,CUST0102,PROD0145,2025-03-18,3,1125.99
TX00306,CUST0102,PROD0049,2025-03-14,2,67.34
TX00307,CUST0103,PROD0086,2025-05-12,4,155.68
TX00308,CUST0103,PROD0133,2024-08-07,3,175.98
TX00309,CUST0103,PROD0174,2024-07-08,3,506.37
TX00310,CUST0104,PROD0154,2025-01-09,2,34.18
TX00311,CUST0104,PROD0109,2025-04-13,5,33.8
TX00312,CUST0104,PROD0172,2024-01-29,2,389.2
TX00313,CUST0105,PROD0198,2023-05-22,2,702.48
TX00314,CUST0105,PROD0177,2024-12-27,3,579.87
TX00315,CUST0105,PROD0076,2023-08-17,5,1030.85
TX00316,CUST0106,PROD0142,2024-03-10,4,828.6
TX00317,CUST0106,PROD0083,2024-10-19,5,801.15
TX00318,CUST0106,PROD0053,2025-05-23,5,1331.0
TX00319,CUST0107,PROD0045,2024-03-24,3,570.27
TX00320,CUST0107,PROD0031,2024-07-12,2,254.16
TX00321,CUST0107,PROD0186,2024-05-31,2,646.32
TX00322,CUST0108,PROD0154,2023-11-08,2,34.18
TX00323,CUST0108,PROD0163,2025-03-07,4,1071.64
TX00324,CUST0108,PROD0087,2025-02-01,3,1294.8
TX00325,CUST0109,PROD0063,2023-08-04,3,735.84
TX00326,CUST0109,PROD0101,2023-06-03,5,2047.35
TX00327,CUST0109,PROD0124,2024-06-27,4,1746.88
TX00328,CUST0110,PROD0138,2023-11-15,3,787.08
TX00329,CUST0110,PROD0088,2024-06-30,5,2355.45
TX00330,CUST0110,PROD0038,2025-07-23,1,129.45
TX00331,CUST0111,PROD0065,2023-10-06,5,1966.95
TX00332,CUST0111,PROD0032,2024-07-22,4,1177.48
TX00333,CUST0111,PROD0097,2025-01-27,1,466.96
TX00334,CUST0112,PROD0018,2025-06-22,4,1713.52
TX00335,CUST0112,PROD0049,2024-10-22,4,134.68
TX00336,CUST0112,PROD0066,2024-10-02,5,258.45
TX00337,CUST0113,PROD0150,2025-01-29,5,1196.15
TX00338,CUST0113,PROD0071,2025-04-03,4,908.24
TX00339,CUST0113,PROD0131,2024-06-22,2,124.18
TX00340,CUST0114,PROD0069,2025-07-18,4,817.2
TX00341,CUST0114,PROD0014,2025-05-04,5,220.05
TX00342,CUST0114,PROD0110,2023-12-29,1,490.0
TX00343,CUST0115,PROD0122,2025-07-04,3,1206.33
TX00344,CUST0115,PROD0112,2023-09-18,1,9.79
TX00345,CUST0115,PROD0100,2024-01-02,2,984.02
TX00346,CUST0116,PROD0047,2025-06-03,1,165.46
TX00347,CUST0116,PROD0032,2024-01-21,1,294.37
TX00348,CUST0116,PROD0093,2024-09-11,1,324.52
TX00349,CUST0117,PROD0072,2024-10-01,5,714.4
TX00350,CUST0117,PROD0028,2024-09-24,3,1316.4
TX00351,CUST0117,PROD0141,2025-03-17,2,901.04
TX00352,CUST0118,PROD0025,2025-01-12,4,662.08
TX00353,CUST0118,PROD0191,2025-01-27,2,836.56
TX00354,CUST0118,PROD0176,2025-06-15,1,452.9
TX00355,CUST0119,PROD0170,2025-05-30,1,139.5
TX00356,CUST0119,PROD0146,2024-05-27,1,286.71
TX00357,CUST0119,PROD0016,2025-04-02,3,300.54
TX00358,CUST0120,PROD0160,2025-07-10,3,1209.09
TX00359,CUST0120,PROD0185,2025-07-20,4,1191.96
TX00360,CUST0120,PROD0071,2023-05-19,2,454.12
TX00361,CUST0121,PROD0060,2024-07-04,5,1587.0
TX00362,CUST0121,PROD0057,2024-09-08,5,638.55
TX00363,CUST0121,PROD0159,2024-08-31,3,1170.96
TX00364,CUST0122,PROD0142,2024-02-28,2,414.3
TX00365,CUST0122,PROD0091,2024-06-05,1,106.11
TX00366,CUST0122,PROD0061,2023-04-03,5,2265.9
TX00367,CUST0123,PROD0150,2024-04-30,2,478.46
TX00368,CUST0123,PROD0082,2025-05-01,2,583.38
TX00369,CUST0123,PROD0196,2024-08-28,4,321.72
TX00370,CUST0124,PROD0053,2025-03-06,1,266.2
TX00371,CUST0124,PROD0139,2024-07-01,2,436.98
TX00372,CUST0124,PROD0158,2024-04-29,1,125.77
TX00373,CUST0125,PROD0147,2025-06-16,3,1253.07
TX00374,CUST0125,PROD0190,2025-02-20,4,1508.96
TX00375,CUST0125,PROD0158,2025-02-12,1,125.77
TX00376,CUST0126,PROD0025,2024-01-23,2,331.04
TX00377,CUST0126,PROD0064,2024-04-18,2,936.16
TX00378,CUST0126,PROD0105,2024-09-27,4,1217.56
TX00379,CUST0127,PROD0157,2025-02-16,2,699.4
TX00380,CUST0127,PROD0043,2023-03-16,3,1146.51
TX00381,CUST0127,PROD0045,2023-05-04,1,190.09
TX00382,CUST0128,PROD0001,2024-08-09,3,180.33
TX00383,CUST0128,PROD0062,2023-08-10,4,1038.04
TX00384,CUST0128,PROD0172,2023-02-03,5,973.0
TX00385,CUST0129,PROD0154,2025-06-02,2,34.18
TX00386,CUST0129,PROD0099,2025-03-30,2,835.4
TX00387,CUST0129,PROD0115,2024-09-13,1,68.09
TX00388,CUST0130,PROD0021,2025-02-07,4,548.6
TX00389,CUST0130,PROD0105,2024-02-03,4,1217.56
TX00390,CUST0130,PROD0183,2024-07-20,2,173.4
TX00391,CUST0131,PROD0190,2024-02-09,4,1508.96
TX00392,CUST0131,PROD0099,2024-06-15,1,417.7
TX00393,CUST0131,PROD0158,2024-10-06,5,628.85
TX00394,CUST0132,PROD0196,2025-01-26,4,321.72
TX00395,CUST0132,PROD0070,2025-02-07,4,512.32
TX00396,CUST0132,PROD0053,2024-07-31,5,1331.0
TX00397,CUST0133,PROD0088,2024-06-12,4,1884.36
TX00398,CUST0133,PROD0083,2024-01-12,5,801.15
TX00399,CUST0133,PROD0006,2024-08-08,5,517.1
TX00400,CUST0134,PROD0100,2025-02-08,2,984.02
TX00401,CUST0134,PROD0114,2024-11-08,3,880.02
TX00402,CUST0134,PROD0156,2023-07-28,2,420.3
TX00403,CUST0135,PROD0181,2025-01-30,4,77.48
TX00404,CUST0135,PROD0020,2025-01-13,2,376.48
TX00405,CUST0135,PROD0154,2024-06-23,4,68.36
TX00406,CUST0136,PROD0054,2025-01-19,3,1394.43
TX00407,CUST0136,PROD0056,2024-09-12,4,1801.24
TX00408,CUST0136,PROD0081,2025-07-19,3,297.0
TX00409,CUST0137,PROD0064,2024-11-15,2,936.16
TX00410,CUST0137,PROD0184,2025-04-15,4,1961.84
TX00411,CUST0137,PROD0075,2024-12-24,5,2317.75
TX00412,CUST0138,PROD0121,2023-11-22,5,86.35
TX00413,CUST0138,PROD0007,2024-09-17,2,454.72
TX00414,CUST0138,PROD0176,2023-04-21,1,452.9
TX00415,CUST0139,PROD0116,2024-09-24,4,1800.0
TX00416,CUST0139,PROD0183,2025-03-19,5,433.5
TX00417,CUST0139,PROD0006,2024-12-19,3,310.26
TX00418,CUST0140,PROD0093,2024-05-18,4,1298.08
TX00419,CUST0140,PROD0098,2024-12-18,4,751.68
TX00420,CUST0140,PROD0006,2024-11-09,4,413.68
TX00421,CUST0141,PROD0109,2024-09-24,3,20.28
TX00422,CUST0141,PROD0023,2025-07-07,3,701.46
TX00423,CUST0141,PROD0112,2024-09-07,2,19.58
TX00424,CUST0142,PROD0069,2023-07-14,4,817.2
TX00425,CUST0142,PROD0094,2023-11-27,2,929.72
TX00426,CUST0142,PROD0067,2024-01-12,2,429.34
TX00427,CUST0143,PROD0057,2025-02-15,5,638.55
TX00428,CUST0143,PROD0150,2025-01-07,5,1196.15
TX00429,CUST0143,PROD0166,2025-03-13,5,2157.2
TX00430,CUST0144,PROD0051,2024-03-08,3,1152.27
TX00431,CUST0144,PROD0010,2025-04-03,1,111.58
TX00432,CUST0144,PROD0098,2024-02-17,2,375.84
TX00433,CUST0145,PROD0024,2024-06-03,1,345.64
TX00434,CUST0145,PROD0182,2024-11-27,5,1705.9
TX00435,CUST0145,PROD0041,2024-03-03,5,416.45
TX00436,CUST0146,PROD0013,2024-01-09,5,1831.1
TX00437,CUST0146,PROD0065,2025-04-14,3,1180.17
TX00438,CUST0146,PROD0021,2024-12-01,4,548.6
TX00439,CUST0147,PROD0039,2025-01-31,4,1447.04
TX00440,CUST0147,PROD0076,2024-09-04,3,618.51
TX00441,CUST0147,PROD0037,2023-07-30,2,387.8
TX00442,CUST0148,PROD0059,2025-05-08,2,228.02
TX00443,CUST0148,PROD0105,2023-08-24,5,1521.95
TX00444,CUST0148,PROD0080,2025-07-06,1,214.39
TX00445,CUST0149,PROD0060,2023-07-25,1,317.4
TX00446,CUST0149,PROD0024,2025-06-01,5,1728.2
TX00447,CUST0149,PROD0159,2023-12-08,2,780.64
TX00448,CUST0150,PROD0074,2023-02-13,4,1311.24
TX00449,CUST0150,PROD0141,2022-11-09,2,901.04
TX00450,CUST0150,PROD0121,2022-11-02,2,34.54
TX00451,CUST0151,PROD0005,2025-06-15,1,113.23
TX00452,CUST0151,PROD0051,2022-10-02,1,384.09
TX00453,CUST0151,PROD0155,2024-08-04,1,307.58
TX00454,CUST0152,PROD0069,2024-06-12,1,204.3
TX00455,CUST0152,PROD0046,2024-02-29,4,1907.92
TX00456,CUST0152,PROD0137,2025-01-31,5,134.85
TX00457,CUST0153,PROD0195,2024-04-04,2,207.36
TX00458,CUST0153,PROD0095,2024-09-24,2,463.7
TX00459,CUST0153,PROD0186,2024-03-31,5,1615.8
TX00460,CUST0154,PROD0048,2023-10-22,3,1394.7
